crop,season,year_range,production,start_date,end_date
Shree Anna /Nutri Cereals,Summer,2013-2014,0,01-01-2013,31-12-2013
Shree Anna /Nutri Cereals,Summer,2014-2015,0,01-01-2014,31-12-2014
Shree Anna /Nutri Cereals,Summer,2015-2016,0,01-01-2015,31-12-2015
Shree Anna /Nutri Cereals,Summer,2016-2017,0,01-01-2016,31-12-2016
Shree Anna /Nutri Cereals,Summer,2017-2018,0,01-01-2017,31-12-2017
Shree Anna /Nutri Cereals,Summer,2018-2019,0,01-01-2018,31-12-2018
Shree Anna /Nutri Cereals,Summer,2019-2020,0,01-01-2019,31-12-2019
Shree Anna /Nutri Cereals,Summer,2020-2021,0,01-01-2020,31-12-2020
Shree Anna /Nutri Cereals,Summer,2021-2022,0,01-01-2021,31-12-2021
Shree Anna /Nutri Cereals,Summer,2022-2023,10.95,01-01-2022,31-12-2022
Shree Anna /Nutri Cereals,Summer,2023-2024,10.93,01-01-2023,31-12-2023
Nutri/Coarse Cereals,Kharif,2013-2014,296.6,01-01-2013,31-12-2013
Nutri/Coarse Cereals,Kharif,2014-2015,309.45,01-01-2014,31-12-2014
Nutri/Coarse Cereals,Kharif,2015-2016,281.49,01-01-2015,31-12-2015
Nutri/Coarse Cereals,Kharif,2016-2017,324.4,01-01-2016,31-12-2016
Nutri/Coarse Cereals,Kharif,2017-2018,340.25,01-01-2017,31-12-2017
Nutri/Coarse Cereals,Kharif,2018-2019,313.84,01-01-2018,31-12-2018
Nutri/Coarse Cereals,Kharif,2019-2020,336.15,01-01-2019,31-12-2019
Nutri/Coarse Cereals,Kharif,2020-2021,367.5,01-01-2020,31-12-2020
Nutri/Coarse Cereals,Kharif,2021-2022,361.28,01-01-2021,31-12-2021
Nutri/Coarse Cereals,Kharif,2022-2023,375.78,01-01-2022,31-12-2022
Nutri/Coarse Cereals,Kharif,2023-2024,355.35,01-01-2023,31-12-2023
Nutri/Coarse Cereals,Rabi,2013-2014,120.94,01-01-2013,31-12-2013
Nutri/Coarse Cereals,Rabi,2014-2015,119.17,01-01-2014,31-12-2014
Nutri/Coarse Cereals,Rabi,2015-2016,103.74,01-01-2015,31-12-2015
Nutri/Coarse Cereals,Rabi,2016-2017,113.32,01-01-2016,31-12-2016
Nutri/Coarse Cereals,Rabi,2017-2018,129.45,01-01-2017,31-12-2017
Nutri/Coarse Cereals,Rabi,2018-2019,116.75,01-01-2018,31-12-2018
Nutri/Coarse Cereals,Rabi,2019-2020,141.34,01-01-2019,31-12-2019
Nutri/Coarse Cereals,Rabi,2020-2021,145.74,01-01-2020,31-12-2020
Nutri/Coarse Cereals,Rabi,2021-2022,149.73,01-01-2021,31-12-2021
Nutri/Coarse Cereals,Rabi,2022-2023,159.25,01-01-2022,31-12-2022
Nutri/Coarse Cereals,Rabi,2023-2024,169.16,01-01-2023,31-12-2023
Nutri/Coarse Cereals,Summer,2013-2014,0,01-01-2013,31-12-2013
Nutri/Coarse Cereals,Summer,2014-2015,0,01-01-2014,31-12-2014
Nutri/Coarse Cereals,Summer,2015-2016,0,01-01-2015,31-12-2015
Nutri/Coarse Cereals,Summer,2016-2017,0,01-01-2016,31-12-2016
Nutri/Coarse Cereals,Summer,2017-2018,0,01-01-2017,31-12-2017
Nutri/Coarse Cereals,Summer,2018-2019,0,01-01-2018,31-12-2018
Nutri/Coarse Cereals,Summer,2019-2020,0,01-01-2019,31-12-2019
Nutri/Coarse Cereals,Summer,2020-2021,0,01-01-2020,31-12-2020
Nutri/Coarse Cereals,Summer,2021-2022,0,01-01-2021,31-12-2021
Nutri/Coarse Cereals,Summer,2022-2023,38.17,01-01-2022,31-12-2022
Nutri/Coarse Cereals,Summer,2023-2024,44.85,01-01-2023,31-12-2023
Tur,Kharif,2013-2014,31.74,01-01-2013,31-12-2013
